Restaurant,"Average Rating (Joe, Lee and Hugo)",Average Rating (all who attended),Date,City,Cuisine,Joe,Lee,Hugo,Nik,Zoe,Courtney,Randal,Victoria,Aiden,Jamie,Jos,Charlie,Oscar,Jess,Caty,Gillian,Victoria's Mum,Mum,Dad,Photos
Heroica Lounge,N/A,7,Sep-24,London,Italian,,,7,7,,,,,,,,,,,,,,,,
Farzi,N/A,7.75,Sep-24,London,Indian,,,7,8.5,,,,,,,,,,,,,,,,
Marceline,N/A,8,Sep-24,London,French,,,8,8,,,,,,,,,,,,,,,,
Crudo,N/A,8,Sep-24,London,Peruvian ,,,8,8,,,,,,,,,,,,,,,,
The Oystermen ,N/A,8.75,Sep-24,London,Seafood,,,8.5,9,,,,,,,,,,,,,,,,
Carmel,6.83,6.75,Oct-24,London,Modern European,7,7,6.5,6.5,6.5,7,,,,,,,,,,,,,,
The Devonshire,N/A,7.83,Oct-24,London,Pub,,,7.5,,,,8,8,,,,,,,,,,,,
Bentleys,N/A,9.25,Oct-24,London,Seafood,,,9,9.5,,,,,,,,,,,,,,,,
Roe,8,8,Nov-24,London,Modern European,8,8,8,,,,,,,,,,,,,,,,,
Seafood Bar,N/A,7.3,Nov-24,London,Seafood,,,8,,,,7,7,,,,,,,,,,7,7.5,
Oysteria,N/A,7.5,Nov-24,London,Seafood,,,7.5,7.5,,,,,,,,,,,,,,,,
Hawksmoor City,N/A,7.5,Nov-24,London,Steak,,,7.5,,,,,,7.5,,,,,,,,,,,
The Scallop Shell,N/A,8,Nov-24,Bath,Seafood,,,8,8,,,,,,,,,,,,,,,,
Maison Francois,N/A,8.25,Nov-24,London,French,,,8,8.5,,,,,,,,,,,,,,,,
Boisdale,N/A,8.5,Nov-24,London,British; Modern European,,,8,9,,,,,,,,,,,,,,,,
The Raven,N/A,8.75,Nov-24,Bath,Pub,,,8,9.5,,,,,,,,,,,,,,,,
The Hero,N/A,7.25,Dec-24,London,Pub,,7.5,7,,,,,,,,,,,,,,,,,
Roe,N/A,7.25,Dec-24,London,Modern European,,,7,7.5,,,,,,,,,,,,,,,,
Wright Brothers,N/A,8,Dec-24,London,Seafood,,,7.5,8.5,,,,,,,,,,,,,,,,
Meraki,N/A,8,Dec-24,London,Greek,,,8,8,,,,,,,,,,,,,,,,
Chotto Matte,N/A,8.5,Dec-24,London,Nikkei,,,8.5,8.5,,,,,,,,,,,,,,,,
Hawksmoor Canary Wharf,N/A,8.75,Dec-24,London,Steak,,,8.5,9,,,,,,,,,,,,,,,,
Fallow,N/A,5.75,Jan-25,London,Modern European,,,5.5,6,,,,,,,,,,,,,,,,
Agora,N/A,7.17,Jan-25,London,Greek,,,7,,,,7.5,7,,,,,,,,,,,,
Bread Street Kitchen,N/A,7.25,Jan-25,London,Modern European,,,7.5,7,,,,,,,,,,,,,,,,
Lita,N/A,8.5,Jan-25,London,Modern European,,8.5,,,,8.5,,,,,,,,,,,,,,
Silva,7.83,7.83,Feb-25,London,Modern European,8,8,7.5,,,,,,,,,,,,,,,,,
Som Saa,N/A,7.75,Feb-25,London,Thai,,,7.5,8,,,,,,,,,,,,,,,,
Santo Remedio,N/A,8.25,Feb-25,London,Mexican,,,8,8.5,,,,,,,,,,,,,,,,
Lita,N/A,8.25,Feb-25,London,Modern European,,,8,8.5,,,,,,,,,,,,,,,,
Canteen,N/A,8.5,Feb-25,London,Italian,,8.5,,,,8.5,,,,,,,,,,,,,,
Duck and Waffle,N/A,8,Mar-25,London,Modern European,,,8,8,,,,,,,,,,,,,,,,
Lorne,N/A,8.5,Mar-25,London,Modern European,,,8,9,,,,,,,,,,,,,,,,
45 Jermyn Street,N/A,8.75,Mar-25,London,Modern European,,,8.5,9,,,,,,,,,,,,,,,,
Fonda,8.33,8.33,Apr-25,London,Mexican,9,8.5,7.5,,,,,,,,,,,,,,,,,
Din Tai Fung,N/A,7.5,Apr-25,London,Dim Sum,,,7,8,,,,,,,,,,,,,,,,
Anglothai,N/A,8.7,Apr-25,London,Thai; British Thai,,,8.5,,,,9,8,,,,,,,,,,9,9,
Goodman ,N/A,8.75,Apr-25,London,Steak,,,9,8.5,,,,,,,,,,,,,,,,
Brasserie Blanc,N/A,6.25,May-25,Bournemouth,French,,,5.5,7,,,,,,,,,,,,,,,,
Rick Stein,N/A,6.75,May-25,Poole,Seafood,,,7,6.5,,,,,,,,,,,,,,,,
Temper ,N/A,7.33,May-25,London,Steak,,,7.5,,,,7,7.5,,,,,,,,,,,,
El Pastor,N/A,7.5,May-25,London,Mexican,,,7,8,,,,,,,,,,,,,,,,
Lurra,N/A,8.25,May-25,London,Basque; Spanish,,,8.5,8,,,,,,,,,,,,,,,,
Ibai,N/A,8.67,May-25,London,Basque; Spanish,,,8.5,,,,8.5,,,,,,,,,,,,9,
Mestizo,6.5,6.5,Jun-25,London,Mexican,6.5,6.5,6.5,,,,,,,,,,,,,,,,,
Osteria Angelina,8.67,8.67,Jun-25,London,Fusion,8.5,8.5,9,,,,,,,,,,,,,,,,,
The Ambassador's Clubhouse,N/A,7,Jun-25,London,Indian,,,6.5,,,,7,7,,,,,,,,,,7,7.5,
Camille,N/A,7.5,Jun-25,London,French,,,7.5,7.5,,,,,,,,,,,,,,,,
Sticks & Sushi,N/A,7.5,Jun-25,London,Japanese,,,8,7,,,,,,,,,,,,,,,,
OMA,N/A,8.5,Jun-25,London,Greek,,,8,9,,,,,,,,,,,,,,,,
Osteria Angelina,N/A,9.5,Jun-25,London,Fusion,,,9.5,9.5,,,,,,,,,,,,,,,,
Barbarella,N/A,7,Jul-25,London,Italian,,,6.5,7.5,,,,,,,,,,,,,,,,
Vu's Hanoi Restaurant,N/A,7,Jul-25,Paris,Vietnamese,,,7,7,,,,,,,,,,,,,,,,"https://i.postimg.cc/SsqbhD7J/PXL-20250731-105626514-MP.jpg
https://i.postimg.cc/W3jcvX6J/PXL-20250731-105639771.jpg"
Brasserie Hector,N/A,7.25,Jul-25,Paris,French,,,7,7.5,,,,,,,,,,,,,,,,"https://i.postimg.cc/Xv112LHm/PXL-20250728-105646856.jpg
https://i.postimg.cc/9fggxb8n/PXL-20250728-111736250.jpg
https://i.postimg.cc/xdpps5xF/PXL-20250728-111737884.jpg
https://i.postimg.cc/KYpp9fqV/PXL-20250728-111837480.jpg
https://i.postimg.cc/gJwS1h1W/PXL-20250728-112550215.jpg"
Alix et Mika,N/A,7.25,Jul-25,Paris,French,,,7,7.5,,,,,,,,,,,,,,,,"https://i.postimg.cc/GttcWXdk/PXL-20250726-175322759.jpg
https://i.postimg.cc/wMM6CwgQ/PXL-20250726-175326273.jpg
https://i.postimg.cc/rss8BfM9/PXL-20250726-175346793.jpg"
Au Petit Chauvignon,N/A,7.75,Jul-25,Paris,French,,,7.5,8,,,,,,,,,,,,,,,,"https://i.postimg.cc/YS7trrtL/PXL-20250726-134423727.jpg
https://i.postimg.cc/XvWnjjnC/PXL-20250726-135033104.jpg
https://i.postimg.cc/PqHdXXdt/PXL-20250726-140408087.jpg
https://i.postimg.cc/cJWdxxdd/PXL-20250726-140411028.jpg
https://i.postimg.cc/LsSm99m9/PXL-20250726-140412629.jpg
https://i.postimg.cc/zfNqzzqD/PXL-20250726-140414657.jpg"
Elmer,N/A,8.25,Jul-25,Paris,French,,,7.5,9,,,,,,,,,,,,,,,,"https://i.postimg.cc/T3RbK6dV/PXL-20250731-173616259.jpg
https://i.postimg.cc/kgnS2mJh/PXL-20250731-174754462-MP.jpg
https://i.postimg.cc/02Gm5QsK/PXL-20250731-175739300.jpg
https://i.postimg.cc/tCdPRTj7/PXL-20250731-180016349.jpg
https://i.postimg.cc/P52wZRJ0/PXL-20250731-180021053.jpg
https://i.postimg.cc/NjgXKcsm/PXL-20250731-182033797.jpg
https://i.postimg.cc/bw3tbBrF/PXL-20250731-182035225.jpg
https://i.postimg.cc/zXwWDBr8/PXL-20250731-184327621.jpg
https://i.postimg.cc/X7KFNJbr/PXL-20250731-184329794.jpg
https://i.postimg.cc/YqBYwFJM/PXL-20250731-184332544.jpg
https://i.postimg.cc/wT5Jxvpk/PXL-20250731-184334147.jpg
https://i.postimg.cc/W12ZdvNC/PXL-20250731-192839492-MP.jpg"
Rooster,N/A,8.25,Jul-25,Paris,French,,,8,8.5,,,,,,,,,,,,,,,,"https://i.postimg.cc/ZRj2hZ5f/PXL-20250730-175058277.jpg
https://i.postimg.cc/fyLFzF3h/PXL-20250730-175100872.jpg
https://i.postimg.cc/NFMVsVyj/PXL-20250730-175752062.jpg
https://i.postimg.cc/prT7W79K/PXL-20250730-175754587.jpg
https://i.postimg.cc/qqRYJYtp/PXL-20250730-180841125.jpg
https://i.postimg.cc/C51thtZh/PXL-20250730-182426702.jpg
https://i.postimg.cc/xCghSY1F/PXL-20250730-184334094.jpg
https://i.postimg.cc/ydntzB8Q/PXL-20250730-191314511.jpg
https://i.postimg.cc/ydntzB8b/PXL-20250730-192519781.jpg"
Gaston,N/A,8.25,Jul-25,Paris,French,,,8,8.5,,,,,,,,,,,,,,,,"https://i.postimg.cc/BvbM1DSy/PXL-20250727-181525132-MP.jpg
https://i.postimg.cc/FKzDJcrP/PXL-20250727-183834430.jpg
https://i.postimg.cc/Dz0Bbsvj/PXL-20250727-183836586.jpg
https://i.postimg.cc/xd8tbHf6/PXL-20250727-183838463.jpg"
Calice,N/A,8.25,Jul-25,Paris,Fusion,,,8.5,8,,,,,,,,,,,,,,,,"https://i.postimg.cc/G2rt5P4X/PXL-20250727-105738628.jpg
https://i.postimg.cc/PxhJRbCz/PXL-20250727-105859752.jpg
https://i.postimg.cc/mDwkfc9X/PXL-20250727-105901841.jpg
https://i.postimg.cc/W40t8Y1t/PXL-20250727-105904652.jpg
https://i.postimg.cc/mr7hjpgz/PXL-20250727-105943677.jpg
https://i.postimg.cc/7LSb9tZJ/PXL-20250727-105945841.jpg
https://i.postimg.cc/zB5vcwyw/PXL-20250727-105948308.jpg
https://i.postimg.cc/hjrvWJm3/PXL-20250727-111916141.jpg
https://i.postimg.cc/yN0Wjp8S/PXL-20250727-111921351.jpg
https://i.postimg.cc/mDRk53Pv/PXL-20250727-114354626.jpg"
L'art du Quotidien,N/A,8.5,Jul-25,Paris,French,,,8.5,8.5,,,,,,,,,,,,,,,,"https://i.postimg.cc/zBP7jffM/PXL-20250729-104210751-MP.jpg
https://i.postimg.cc/bJvLknzh/PXL-20250729-104853403.jpg
https://i.postimg.cc/DZz5LG2h/PXL-20250729-104944202.jpg
https://i.postimg.cc/Y9S8YFpk/PXL-20250729-104946642.jpg"
Tatar Bunar,N/A,8.75,Jul-25,London,Ukrainian,,,8.5,9,,,,,,,,,,,,,,,,"https://i.postimg.cc/hPQy6nFm/PXL-20250712-181837665.jpg
https://i.postimg.cc/66mbM3Pc/PXL-20250712-184108774.jpg
https://i.postimg.cc/28LcMYpZ/PXL-20250712-184111310.jpg
https://i.postimg.cc/RVJsymrQ/PXL-20250712-184349084.jpg
https://i.postimg.cc/15VC2SxD/PXL-20250712-190306407.jpg
https://i.postimg.cc/L6gCwSdf/PXL-20250712-190914724-MP.jpg
https://i.postimg.cc/bNSCWPXQ/PXL-20250712-194637341.jpg
https://i.postimg.cc/bNSCWPX9/PXL-20250712-194639349.jpg"
Bombance,N/A,9,Jul-25,Paris,French,,,9,9,,,,,,,,,,,,,,,,"https://i.postimg.cc/XqpHSChB/PXL-20250729-175058539.jpg
https://i.postimg.cc/2yVcRZJq/PXL-20250729-175100187.jpg
https://i.postimg.cc/vTcqFVjg/PXL-20250729-175101751.jpg
https://i.postimg.cc/7hfs82c3/PXL-20250729-181543465.jpg
https://i.postimg.cc/BbXY9Kyj/PXL-20250729-181545722.jpg"
Fogo,N/A,9,Jul-25,Paris,French,,,9,9,,,,,,,,,,,,,,,,"https://i.postimg.cc/fb8pGDLq/PXL-20250728-173807744.jpg
https://i.postimg.cc/TPtFzfw4/PXL-20250728-173810895.jpg
https://i.postimg.cc/YSdZ5M0M/PXL-20250728-174258587.jpg
https://i.postimg.cc/q71SP4qk/PXL-20250728-174350016.jpg
https://i.postimg.cc/N0dS3BFQ/PXL-20250728-174825211.jpg
https://i.postimg.cc/mDhJRJ1x/PXL-20250728-174833938.jpg
https://i.postimg.cc/zfx6s8B0/PXL-20250728-175727598.jpg
https://i.postimg.cc/jjMmpt5M/PXL-20250728-182314044.jpg"
Sesta,8.33,8.33,Aug-25,London,Modern European,8.5,8.5,8,,,,,,,,,,,,,,,,,"https://i.postimg.cc/DZYW4kM5/PXL-20250809-195129002.jpg
https://i.postimg.cc/L5YJzCcP/PXL-20250809-195131180.jpg
https://i.postimg.cc/JndyHV2P/PXL-20250809-195639782.jpg
https://i.postimg.cc/j2wDzgpZ/PXL-20250809-195644132.jpg
https://i.postimg.cc/MHCvt0wC/PXL-20250809-200745264.jpg
https://i.postimg.cc/prwpkQxN/PXL-20250809-200746544.jpg
https://i.postimg.cc/HncrQvGm/PXL-20250809-200747722.jpg
https://i.postimg.cc/ydrJ34bj/PXL-20250809-203424942.jpg
https://i.postimg.cc/C5BRjP3v/PXL-20250809-203426756.jpg
https://i.postimg.cc/gjXxvSC7/PXL-20250809-203428487.jpg
https://i.postimg.cc/MHMnyPCY/PXL-20250809-212347189.jpg"
Singapore Garden,N/A,6.63,Aug-25,London,Chinese,,,6,,,,6.5,,,,,,,,,,,6.5,7.5,
The Buoy and Oyster,N/A,7.17,Aug-25,Margate,Seafood,,,7,7,,,,,,8,7,7,,,7,,,,,"https://i.postimg.cc/ZY7PpXdN/PXL-20250816-135425749.jpg
https://i.postimg.cc/MZP0VgQD/PXL-20250816-135428318-MP.jpg
https://i.postimg.cc/nVRKBNDq/PXL-20250816-135655231.jpg
https://i.postimg.cc/Kcq7BCMr/PXL-20250816-143012410.jpg
https://i.postimg.cc/L6JtTvtG/PXL-20250816-143326266.jpg
https://i.postimg.cc/kX2QcwNP/PXL-20250816-143427140.jpg
https://i.postimg.cc/qMNsLQcf/PXL-20250816-143428841.jpg"
Angelina,N/A,8.25,Aug-25,London,Fusion,,,8,8.5,,,,,,,,,,,,,,,,"https://i.postimg.cc/mDSwvDhb/PXL-20250817-131700816.jpg
https://i.postimg.cc/Xq784byb/PXL-20250817-131703628.jpg
https://i.postimg.cc/cHcmpH60/PXL-20250817-131841347.jpg
https://i.postimg.cc/4yL13Sz5/PXL-20250817-131843171.jpg
https://i.postimg.cc/yxQTNbFM/PXL-20250817-131851360.jpg
https://i.postimg.cc/Pf2yKPB8/PXL-20250817-131855250.jpg
https://i.postimg.cc/BbYCvVT9/PXL-20250817-133015189.jpg
https://i.postimg.cc/NfF4nQtc/PXL-20250817-133017763.jpg
https://i.postimg.cc/VvLRm8bq/PXL-20250817-134419936.jpg
https://i.postimg.cc/908BfnGN/PXL-20250817-134422203.jpg
https://i.postimg.cc/hvPrcB7J/PXL-20250817-134423629.jpg
https://i.postimg.cc/SQDdVJwW/PXL-20250817-134425501.jpg
https://i.postimg.cc/hPvrYKnF/PXL-20250817-140424074.jpg
https://i.postimg.cc/LXSDQf9v/PXL-20250817-142014512.jpg
https://i.postimg.cc/NGpDb5Wk/PXL-20250817-142016396.jpg
https://i.postimg.cc/rFsJHqkB/PXL-20250817-142019369.jpg
https://i.postimg.cc/L4NDvnrP/PXL-20250817-144024863.jpg
https://i.postimg.cc/gJpstRzT/PXL-20250817-144026982.jpg
https://i.postimg.cc/qRGLPRqw/PXL-20250817-144028570.jpg
https://i.postimg.cc/xCPRwCqD/PXL-20250817-144030185.jpg
https://i.postimg.cc/Hxmzv5YN/PXL-20250817-144031868.jpg"
Dove,N/A,8.5,Aug-25,London,Modern European,,,8.5,8.5,,,,,,,,,,,,,,,,"https://i.postimg.cc/y6b9k9MP/PXL-20250810-125935558.jpg
https://i.postimg.cc/NFSrSq8v/PXL-20250810-130052760.jpg
https://i.postimg.cc/8c9r9Qds/PXL-20250810-130054535.jpg
https://i.postimg.cc/c1bYrYpR/PXL-20250810-131950346.jpg
https://i.postimg.cc/59Rv6vhL/PXL-20250810-131951975.jpg
https://i.postimg.cc/zv6R6ZC9/PXL-20250810-134316653.jpg
https://i.postimg.cc/Bbk1k953/PXL-20250810-134319090.jpg
https://i.postimg.cc/0jFJFRG9/PXL-20250810-134331803.jpg
https://i.postimg.cc/RCDfNfk8/PXL-20250810-142319643.jpg"
Les Poulettes Batignolles,N/A,8.75,Aug-25,Paris,French,,,9,8.5,,,,,,,,,,,,,,,,"https://i.postimg.cc/RCNX0ws5/PXL-20250801-174415270.jpg
https://i.postimg.cc/BZXMv2Y4/PXL-20250801-174416732.jpg
https://i.postimg.cc/mZt8r7XT/PXL-20250801-174418487-MP.jpg
https://i.postimg.cc/CMXJnd9y/PXL-20250801-180448581.jpg
https://i.postimg.cc/jdfcHtr0/PXL-20250801-180450749.jpg
https://i.postimg.cc/05bcN7Ws/PXL-20250801-180655978.jpg
https://i.postimg.cc/NfXD6BvP/PXL-20250801-180657565.jpg
https://i.postimg.cc/QNwSKVwP/PXL-20250801-182957621.jpg"
Moi,N/A,8.5,Sep-25,London,Japanese,,,8,9,,,,,,,,,,,,,,,,"https://i.postimg.cc/HsTG8cb5/PXL-20250920-181516524-MP.jpg
https://i.postimg.cc/dtJMZkGk/PXL-20250920-182936697-MP.jpg
https://i.postimg.cc/kMQ35FRG/PXL-20250920-182943030-MP.jpg
https://i.postimg.cc/ZKJkvB6v/PXL-20250920-183118744-MP.jpg
https://i.postimg.cc/CMGTKHnK/PXL-20250920-183122470-MP.jpg
https://i.postimg.cc/RC750QJ6/PXL-20250920-184645938-MP.jpg
https://i.postimg.cc/CMGTKHnZ/PXL-20250920-184652354-MP.jpg
https://i.postimg.cc/c4dqtgf3/PXL-20250920-184654183-MP.jpg
https://i.postimg.cc/jdRVnwyZ/PXL-20250920-185755101-MP.jpg
https://i.postimg.cc/rFq6R05n/PXL-20250920-185800168-MP.jpg
https://i.postimg.cc/yY7q3g0j/PXL-20250920-191704921-MP.jpg"
Dinner by Heston,N/A,9.25,Sep-25,London,Modern European,,,9,9.5,,,,,,,,,,,,,,,,"https://i.postimg.cc/g2rT3vjk/PXL-20250906-181709616-MP.jpg
https://i.postimg.cc/9QznyG0P/PXL-20250906-182715812-MP.jpg
https://i.postimg.cc/FHqnp7kW/PXL-20250906-183434797-MP.jpg
https://i.postimg.cc/jS9kcLnc/PXL-20250906-183436565-MP.jpg
https://i.postimg.cc/y85rjk3F/PXL-20250906-184123338-MP.jpg
https://i.postimg.cc/mgh57Qkk/PXL-20250906-185242792-MP.jpg
https://i.postimg.cc/kXJZgrdf/PXL-20250906-190442734-MP.jpg
https://i.postimg.cc/9FmSQ3jd/PXL-20250906-192458268-MP.jpg
https://i.postimg.cc/9FLk4xm5/PXL-20250906-193438124-MP.jpg
https://i.postimg.cc/7YHcZvy1/PXL-20250906-195925445-MP.jpg
https://i.postimg.cc/rFfHdh8h/PXL-20250906-201332580-MP.jpg
https://i.postimg.cc/134jDpXs/PXL-20250906-201335158-MP.jpg
https://i.postimg.cc/rFfHdh8P/PXL-20250906-204531213-MP.jpg
https://i.postimg.cc/280tqHzs/PXL-20250906-210649411-MP.jpg
https://i.postimg.cc/bNyMwXjb/PXL-20250906-210652485-MP.jpg"
Mareida,7.33,7.5,Oct-25,London,Chilean,7.5,7,7.5,8,7.5,7.5,,,,,,,,,,,,,,"https://i.postimg.cc/sf7yhCqy/IMG-2860.jpg
https://i.postimg.cc/T2gGDvFx/IMG-2861.jpg
https://i.postimg.cc/QN1sTZPy/IMG-2862.jpg
https://i.postimg.cc/3rm7vQVr/IMG-2863.jpg
https://i.postimg.cc/qBy03HYF/IMG-2864.jpg
https://i.postimg.cc/L4LR1F77/IMG-2865.jpg
https://i.postimg.cc/v8fMVwjk/IMG-2866.jpg
https://i.postimg.cc/c4WW75GJ/IMG-2868.jpg
https://i.postimg.cc/DyhhQY3K/IMG-2869.jpg
https://i.postimg.cc/3rm7vQVw/PXL-20251003-193701643-MP.jpg"
The Bull and Last,N/A,7.5,Oct-25,London,Pub,,,7.5,7.5,,,,,,,,,,,,,,,,"https://i.postimg.cc/CK7SdGQ8/PXL-20251018-181050689-MP.jpg
https://i.postimg.cc/fbDMw2BR/PXL-20251018-183428372-MP.jpg
https://i.postimg.cc/vmhbDrNd/PXL-20251018-183433911-MP.jpg
https://i.postimg.cc/MGqzWPdq/PXL-20251018-183439902-MP.jpg
https://i.postimg.cc/JhMR16Ph/PXL-20251018-194037049-MP.jpg"
Legado,N/A,8.75,Nov-25,London,Spanish,,,8.5,9,,,,,,,,,,,,,,,,
Legado,N/A,9.57,Nov-25,London,Spanish,,,,,,,9.2,9.5,,,,,,,,,10,,,"https://i.postimg.cc/cL8vKbRg/PXL-20251101-183834366-MP.jpg
https://i.postimg.cc/pLnm96f9/PXL-20251101-184511994-MP.jpg
https://i.postimg.cc/3xDkycXd/PXL-20251101-185040934.jpg
https://i.postimg.cc/rwtDdP1S/PXL-20251101-185335140.jpg
https://i.postimg.cc/kgt2VpQ8/PXL-20251101-185736017-MP.jpg
https://i.postimg.cc/rpXK5Nj5/PXL-20251101-190149662-MP.jpg
https://i.postimg.cc/4xhYKS6h/PXL-20251101-191321490-MP.jpg
https://i.postimg.cc/sgZMBNY4/PXL-20251101-191538831-MP.jpg
https://i.postimg.cc/TPMpnJ00/PXL-20251101-192824975-MP.jpg
https://i.postimg.cc/LsKnj3DB/PXL-20251101-192826802-MP.jpg
https://i.postimg.cc/JhVGj5x3/PXL-20251101-192828369-MP.jpg
https://i.postimg.cc/W4Lh0w8g/PXL-20251101-193546798-MP.jpg
https://i.postimg.cc/6pG87mrh/PXL-20251101-194606162-MP.jpg
https://i.postimg.cc/s2dv54mT/PXL-20251101-201146557-MP.jpg
https://i.postimg.cc/q7Vz2xwm/PXL-20251101-201151220-MP.jpg"
Osteria Angelina,N/A,8.88,Nov-25,London,Fusion,,,9.5,,,,,9,,,,,,,,,,9,8,"https://i.postimg.cc/hPD8dcvR/PXL-20251115-143922106-MP.jpg
https://i.postimg.cc/dQmm3Lqn/PXL-20251115-143924961-MP.jpg
https://i.postimg.cc/7PMMhfx9/PXL-20251115-145439331-MP.jpg
https://i.postimg.cc/yY1hZsxN/PXL-20251115-145440355.jpg
https://i.postimg.cc/h4bbvfS1/PXL-20251115-145441643.jpg
https://i.postimg.cc/15m0qsXm/PXL-20251115-145443095.jpg
https://i.postimg.cc/bNy0tprZ/PXL-20251115-145446415-MP.jpg
https://i.postimg.cc/c4x7n0Cs/PXL-20251115-145447761.jpg
https://i.postimg.cc/NF41zPJX/PXL-20251115-145448915.jpg
https://i.postimg.cc/5N45Cbyb/PXL-20251115-145450337.jpg
https://i.postimg.cc/vHY7VbTc/PXL-20251115-145452219-MP.jpg
https://i.postimg.cc/2jFFyVzM/PXL-20251115-145455321-MP.jpg
https://i.postimg.cc/PfzzJPtF/PXL-20251115-145523637-MP.jpg
https://i.postimg.cc/Qx8gThC1/PXL-20251115-150523254-MP.jpg
https://i.postimg.cc/zDSSvVJt/PXL-20251115-151502577-MP.jpg
https://i.postimg.cc/PrXbwTJL/PXL-20251115-151639427-MP.jpg
https://i.postimg.cc/nVYYrCHd/PXL-20251115-151707366-MP.jpg
https://i.postimg.cc/gkzyZmj6/PXL-20251115-151931849-MP.jpg
https://i.postimg.cc/vHY7VbTF/PXL-20251115-152047821-MP.jpg
https://i.postimg.cc/jdx67t2y/PXL-20251115-154817621-MP.jpg
https://i.postimg.cc/59qqy642/PXL-20251115-154820597-MP.jpg
https://i.postimg.cc/FsrbLNzh/PXL-20251115-154822825-MP.jpg
https://i.postimg.cc/jqQQ2Lxr/PXL-20251115-154848611-MP.jpg
https://i.postimg.cc/VLf9Cmvt/PXL-20251115-164004828-MP.jpg
https://i.postimg.cc/MZbbHv6k/PXL-20251115-164023113-MP.jpg
https://i.postimg.cc/y6XXxk1N/PXL-20251115-164025018-MP.jpg"
